Time,Data
2.036,-0.0460213749110583
2.04,-0.06577342224635142
2.044,-0.06452131525469525
2.048,-0.09626522103462583
2.052,-0.08000531254690839
2.056,-0.08474176866294855
2.06,-0.06647477421066453
2.064,-0.051204520017792965
2.068,-0.04293120295258484
2.072,-0.03465502596186163
2.076,-0.07837619810639675
2.08,-0.05209493459359065
2.084,-0.0668114568074047
2.088,-0.05052599233553096
2.092,-0.04723877499375844
2.096,-0.026950044847520928
2.1,-0.028660048230586804
2.104,-0.05536903776087433
2.108,-0.002077272353363654
2.112,-0.02578501723008648
2.116,-0.02749254392716586
2.12,-0.05220013029888994
2.124,-0.05890806051880028
2.128,-0.04261662507777405
2.132,0.0026738792209143867
2.136,-0.006036850730432942
2.14,-0.0007491243329065553
2.144,-0.01246325726690553
2.148,-0.02617957147496621
2.152,-0.022898395141515194
2.156,-0.02762006266952019
2.16,-0.006344914654044926
2.164,-0.01807329785269019
2.168,0.002194434847073194
2.172,-0.0015420755363067596
2.176,-0.02128319403956048
2.18,-0.003029291712570392
2.184,-0.014780745573228064
2.188,-0.02153793855917235
2.192,-0.018301259476414918
2.196,0.00992889705514453
2.2,-0.00384786934069718
2.204,0.0013680352642421677
2.208,-0.005423800833707412
2.212,-0.015223794903216858
2.216,-0.03703236970804736
2.22,-0.04884995343408675
2.224,-0.0106769796133485
2.228,-0.03751388704494634
2.232,-0.016361119713066162
2.236,-0.023219126701948548
2.24,0.029911637892093907
2.244,-0.02996928494839433
2.248,-0.046862359068157784
2.252,-0.03576805304247744
2.256,-0.022686840077543298
2.26,0.00038080209202307386
2.264,-0.024565608691535203
2.268,-0.0085265589010221
2.272,-0.00850253921343702
2.276,-0.0174940443963965
2.28,-0.016501573191857
2.284,-0.011525628197174688
2.288,0.008433284256461135
2.292,-0.01762534577181505
2.296,0.027297968294167883
2.3,0.04720270967683849
2.304,0.06308835837658469
2.308,0.020954391305881344
2.312,-0.006199717574188896
2.316,-0.008374497115071728
2.32,-0.03357047883957343
